Model,Test Accuracy,Training Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet 2 stages,0.4763000011444092,0.5721200108528137,0.5116438170368375,0.4763,3.202230453491211,1956.835,768.0,1053.640625,1821.640625,821.533106803894
TakuNet 3 stages,0.4959999918937683,0.6453400254249573,0.5067052127346406,0.496,4.511190414428711,2104.58,768.0,1489.390625,2257.390625,892.6652679443359
TakuNet 4 stages,0.47440001368522644,0.6317200064659119,0.4833718340249702,0.4744,5.819914817810059,2226.213,768.0,1925.140625,2693.140625,967.7699239253998
TakuNet 5 stages,0.48069998621940613,0.6148800253868103,0.48668949176321413,0.4807,7.129633903503418,2341.318,768.0,2360.890625,3128.890625,1093.59672498703
TakuNet 6 stages,0.43220001459121704,0.5256199836730957,0.4474695077414205,0.4322,8.441201210021973,2455.335,768.0,2796.640625,3564.640625,1178.3267967700958
TakuNet 7 stages,0.40779998898506165,0.4440400004386902,0.416412208111222,0.40779999999999994,9.748676300048828,2569.352,768.0,3232.390625,4000.390625,1268.2152338027954
TakuNet 8 stages,0.3716999888420105,0.3772599995136261,0.3810462845934998,0.3716999999999999,11.057485580444336,2683.369,768.0,3668.140625,4436.140625,1381.265960931778
TakuNet 9 stages,0.3206000030040741,0.31676000356674194,0.30235900713181774,0.3206,12.365886688232422,2797.386,768.0,4103.890625,4871.890625,1511.7961406707764
TakuNet 10 stages,0.2637999951839447,0.24009999632835388,0.2541165994542953,0.26380000000000003,13.67613410949707,2911.403,768.0,4539.640625,5307.640625,1472.195402622223
