Model,Accuracy,Precision,Recall,Size_MB,Flops_K
Simple_CNN,0.6858000159263611,0.7004067686017327,0.6858000000000001,1.9532232284545898,0.0
Deeper_CNN,0.7328000068664551,0.7408351114023648,0.7328,37.23286819458008,0.0
CNN_With_Dropout,0.6851000189781189,0.6918982458595804,0.6851,1.955296516418457,0.0
CNN_With_BatchNorm,0.692799985408783,0.7004461348582954,0.6928,1.9677019119262695,0.0
CNN_With_GAP,0.5928999781608582,0.5996563937652053,0.5929,0.3126087188720703,0.0
ResNet_Like_CNN,0.7556999921798706,0.7570797863869172,0.7557,37.24428844451904,0.0
