Model,Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB
Simple_CNN,0.6895999908447266,0.6933552190134488,0.6896000000000001,1.9532232284545898,301.732,140.625,654.5390625,795.1640625
Deeper_CNN,0.7541000247001648,0.7546479367200876,0.7541,37.23286819458008,3975.58,512.0,12688.2890625,13200.2890625
CNN_With_Dropout,0.6762999892234802,0.6755160643218824,0.6763,1.955296516418457,301.732,140.625,654.5390625,795.1640625
CNN_With_BatchNorm,0.6818000078201294,0.6867645419648134,0.6818000000000001,1.9677019119262695,381.838,225.0,656.0390625,881.0390625
CNN_With_GAP,0.5967000126838684,0.5999105473261177,0.5967,0.3126087188720703,156.132,140.625,94.5390625,235.1640625
ResNet_Like_CNN,0.7549999952316284,0.761941286429644,0.7549999999999999,37.24428844451904,4090.268,768.0,12688.2890625,13456.2890625
