Model,Test Accuracy,Training Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet Random_1 (Stages: 1),0.3276999890804291,0.30649998784065247,0.35931353341007666,0.32770000000000005,4.288379669189453,1979.066,256.0,357.56640625,613.56640625,1653.2293741703033
TakuNet Random_4 (Stages: 2),0.2321999967098236,0.22514000535011292,0.24437862699873172,0.2322,3.198483467102051,1963.563,256.0,261.42578125,517.42578125,897.6721997261047
TakuNet Random_5 (Stages: 3),0.38040000200271606,0.3552600145339966,0.40523839715112764,0.3804,4.289703369140625,1723.196,192.0,351.67578125,543.67578125,637.3053905963898
TakuNet Random_6 (Stages: 4),0.33660000562667847,0.30493998527526855,0.34766316817522,0.3366,5.860912322998047,1846.343,192.0,483.16015625,675.16015625,594.9389576911926
TakuNet Random_8 (Stages: 1),0.31520000100135803,0.31332001090049744,0.3509167872376711,0.3152,1.946126937866211,1757.834,256.0,157.64453125,413.64453125,473.58493280410767
